Score for 5UOI from PDB, mean: 1.5336, std: 0.0244, sample size: 5,  global score, mean: 1.5336, std: 0.0244, sample size: 5
Score for 5UOI_1 from FASTA, mean: 1.0140, std: 0.0160, sample size: 5,  global score, mean: 1.0140, std: 0.0160, sample size: 5
Score for 5UOI_2 from FASTA, mean: 1.1240, std: 0.0183, sample size: 5,  global score, mean: 1.1240, std: 0.0183, sample size: 5
Score for 5UOI_3 from FASTA, mean: 1.1574, std: 0.0218, sample size: 5,  global score, mean: 1.1574, std: 0.0218, sample size: 5
Score for 5UOI_4 from FASTA, mean: 1.1322, std: 0.0131, sample size: 5,  global score, mean: 1.1322, std: 0.0131, sample size: 5
Score for 5UOI_5 from FASTA, mean: 1.1254, std: 0.0233, sample size: 5,  global score, mean: 1.1254, std: 0.0233, sample size: 5
Score for 5UOI_6 from FASTA, mean: 1.1582, std: 0.0235, sample size: 5,  global score, mean: 1.1582, std: 0.0235, sample size: 5
Score for 5UOI_7 from FASTA, mean: 1.1601, std: 0.0143, sample size: 5,  global score, mean: 1.1601, std: 0.0143, sample size: 5
Score for 5UOI_8 from FASTA, mean: 1.1242, std: 0.0168, sample size: 5,  global score, mean: 1.1242, std: 0.0168, sample size: 5
Score for 5UOI_9 from FASTA, mean: 1.1216, std: 0.0156, sample size: 5,  global score, mean: 1.1216, std: 0.0156, sample size: 5
Score for 5UOI_10 from FASTA, mean: 1.1737, std: 0.0204, sample size: 5,  global score, mean: 1.1737, std: 0.0204, sample size: 5
Score for 5UOI_11 from FASTA, mean: 1.1543, std: 0.0334, sample size: 5,  global score, mean: 1.1543, std: 0.0334, sample size: 5
Score for 5UOI_12 from FASTA, mean: 1.1182, std: 0.0244, sample size: 5,  global score, mean: 1.1182, std: 0.0244, sample size: 5
Score for 5UOI_13 from FASTA, mean: 1.1631, std: 0.0237, sample size: 5,  global score, mean: 1.1631, std: 0.0237, sample size: 5
Score for 5UOI_14 from FASTA, mean: 1.1383, std: 0.0253, sample size: 5,  global score, mean: 1.1383, std: 0.0253, sample size: 5
Score for 5UOI_15 from FASTA, mean: 1.1375, std: 0.0295, sample size: 5,  global score, mean: 1.1375, std: 0.0295, sample size: 5
Score for 5UOI_16 from FASTA, mean: 1.1521, std: 0.0125, sample size: 5,  global score, mean: 1.1521, std: 0.0125, sample size: 5
Score for 5UOI_17 from FASTA, mean: 1.1174, std: 0.0201, sample size: 5,  global score, mean: 1.1174, std: 0.0201, sample size: 5
Score for 5UOI_18 from FASTA, mean: 1.1426, std: 0.0065, sample size: 5,  global score, mean: 1.1426, std: 0.0065, sample size: 5
Score for 5UOI_19 from FASTA, mean: 1.1682, std: 0.0078, sample size: 5,  global score, mean: 1.1682, std: 0.0078, sample size: 5
Score for 5UOI_20 from FASTA, mean: 1.1125, std: 0.0133, sample size: 5,  global score, mean: 1.1125, std: 0.0133, sample size: 5
Score for 5UOI_21 from FASTA, mean: 1.1369, std: 0.0230, sample size: 5,  global score, mean: 1.1369, std: 0.0230, sample size: 5
Score for 5UOI_22 from FASTA, mean: 1.1339, std: 0.0201, sample size: 5,  global score, mean: 1.1339, std: 0.0201, sample size: 5
Score for 5UOI_23 from FASTA, mean: 1.1005, std: 0.0198, sample size: 5,  global score, mean: 1.1005, std: 0.0198, sample size: 5
Score for 5UOI_24 from FASTA, mean: 1.1257, std: 0.0375, sample size: 5,  global score, mean: 1.1257, std: 0.0375, sample size: 5
Score for 5UOI_25 from FASTA, mean: 1.1388, std: 0.0177, sample size: 5,  global score, mean: 1.1388, std: 0.0177, sample size: 5
Score for 5UOI_26 from FASTA, mean: 1.1447, std: 0.0205, sample size: 5,  global score, mean: 1.1447, std: 0.0205, sample size: 5
Score for 5UOI_27 from FASTA, mean: 1.1420, std: 0.0056, sample size: 5,  global score, mean: 1.1420, std: 0.0056, sample size: 5
Score for 5UOI_28 from FASTA, mean: 1.1400, std: 0.0106, sample size: 5,  global score, mean: 1.1400, std: 0.0106, sample size: 5
Score for 5UOI_29 from FASTA, mean: 1.1168, std: 0.0141, sample size: 5,  global score, mean: 1.1168, std: 0.0141, sample size: 5
